Date,Close,Open,High,Low,Vol,Change
10-Jun-05,3593.55,3640.05,3665.80,3585.80,-,-1.18%
13-Jun-05,3642.90,3593.90,3648.40,3556.70,-,1.37%
14-Jun-05,3689.80,3649.05,3696.35,3637.70,-,1.29%
15-Jun-05,3683.85,3700.80,3703.75,3662.85,-,-0.16%
16-Jun-05,3618.80,3684.40,3685.75,3607.20,-,-1.77%
17-Jun-05,3595.80,3625.10,3627.45,3581.80,-,-0.64%
20-Jun-05,3531.75,3600.90,3627.35,3518.95,-,-1.78%
21-Jun-05,3577.50,3529.05,3587.10,3529.05,-,1.30%
22-Jun-05,3560.90,3578.65,3614.95,3546.95,-,-0.46%
23-Jun-05,3610.10,3561.25,3614.90,3537.80,-,1.38%
24-Jun-05,3599.10,3612.00,3627.85,3571.90,-,-0.30%
27-Jun-05,3596.50,3599.00,3620.35,3579.35,-,-0.07%
28-Jun-05,3557.80,3616.75,3616.75,3547.85,-,-1.08%
29-Jun-05,3586.65,3561.55,3590.75,3542.40,-,0.81%
30-Jun-05,3638.40,3585.55,3657.80,3585.55,-,1.44%
1-Jul-05,3678.90,3626.65,3704.35,3607.70,-,1.11%
4-Jul-05,3721.50,3684.05,3725.60,3684.05,-,1.16%
5-Jul-05,3702.05,3722.00,3749.55,3646.95,-,-0.52%
6-Jul-05,3759.30,3701.80,3768.45,3701.80,-,1.55%
7-Jul-05,3721.15,3768.90,3796.90,3700.80,-,-1.01%
8-Jul-05,3772.20,3726.55,3781.15,3726.55,-,1.37%
11-Jul-05,3844.95,3774.45,3855.95,3774.45,-,1.93%
12-Jul-05,3892.25,3854.40,3907.75,3835.05,-,1.23%
13-Jul-05,3897.55,3907.80,3927.55,3875.20,-,0.14%
14-Jul-05,3841.90,3900.50,3907.90,3832.55,-,-1.43%
15-Jul-05,3834.85,3823.50,3845.70,3808.60,-,-0.18%
18-Jul-05,3849.50,3837.45,3869.45,3835.95,-,0.38%
19-Jul-05,3877.75,3850.80,3885.80,3839.80,-,0.73%
20-Jul-05,3891.15,3888.80,3930.95,3883.25,-,0.35%
21-Jul-05,3847.85,3893.95,3926.90,3830.60,-,-1.11%
22-Jul-05,3949.45,3854.95,3955.30,3823.85,-,2.64%
25-Jul-05,4105.25,3954.25,4124.65,3954.25,-,3.94%
26-Jul-05,4189.50,4087.10,4209.10,4049.95,-,2.05%
27-Jul-05,4298.00,4155.30,4329.95,4133.65,-,2.59%
29-Jul-05,4361.15,4267.95,4431.95,4224.35,-,1.47%
1-Aug-05,4336.00,4349.60,4364.10,4272.65,-,-0.58%
2-Aug-05,4320.00,4329.45,4367.25,4304.20,-,-0.37%
3-Aug-05,4316.00,4325.55,4370.50,4304.00,-,-0.09%
4-Aug-05,4297.35,4366.50,4367.20,4281.15,-,-0.43%
5-Aug-05,4277.15,4270.25,4349.05,4262.85,-,-0.47%
8-Aug-05,4117.25,4359.05,4359.05,4101.80,-,-3.74%
9-Aug-05,4110.85,4126.35,4173.55,4071.95,-,-0.16%
10-Aug-05,4213.10,4119.85,4223.05,4119.85,-,2.49%
11-Aug-05,4265.25,4219.50,4317.10,4200.45,-,1.24%
12-Aug-05,4263.25,4269.90,4303.15,4249.65,-,-0.05%
16-Aug-05,4213.00,4264.55,4277.45,4201.45,-,-1.18%
17-Aug-05,4224.55,4219.50,4244.90,4181.55,-,0.27%
18-Aug-05,4222.75,4228.65,4317.10,4201.20,-,-0.04%
19-Aug-05,4174.90,4228.50,4234.90,4167.55,-,-1.13%
22-Aug-05,4113.15,4196.75,4212.20,4097.90,-,-1.48%
23-Aug-05,4036.05,4118.85,4142.30,4024.85,-,-1.87%
24-Aug-05,4014.20,4037.90,4053.45,3952.50,-,-0.54%
25-Aug-05,4038.05,4020.55,4048.45,3985.35,-,0.59%
26-Aug-05,4042.25,4038.50,4076.75,4015.95,-,0.10%
29-Aug-05,3981.20,4042.85,4043.50,3958.30,-,-1.51%
30-Aug-05,4046.40,3983.65,4065.00,3983.65,-,1.64%
31-Aug-05,4062.60,4048.65,4067.55,4034.15,-,0.40%
1-Sep-05,4064.65,4063.85,4111.15,4054.55,-,0.05%
2-Sep-05,4089.45,4075.80,4104.90,4038.90,-,0.61%
5-Sep-05,4129.35,4096.35,4147.45,4096.35,-,0.98%
6-Sep-05,4169.10,4212.95,4212.95,4131.80,-,0.96%
8-Sep-05,4222.05,4173.85,4224.15,4172.30,-,1.27%
9-Sep-05,4314.15,4225.15,4334.20,4189.40,-,2.18%
12-Sep-05,4363.15,4318.80,4369.20,4311.45,-,1.14%
13-Sep-05,4408.05,4361.05,4417.55,4330.20,-,1.03%
14-Sep-05,4424.80,4401.75,4473.60,4373.05,-,0.38%
15-Sep-05,4452.30,4437.05,4458.40,4421.75,-,0.62%
16-Sep-05,4485.15,4488.70,4497.50,4426.70,-,0.74%
19-Sep-05,4538.00,4487.25,4550.45,4474.60,-,1.18%
20-Sep-05,4612.00,4531.70,4630.90,4474.25,-,1.63%
21-Sep-05,4568.15,4599.75,4641.25,4477.65,-,-0.95%
22-Sep-05,4420.25,4562.80,4571.90,4391.40,-,-3.24%
23-Sep-05,4397.95,4409.10,4451.65,4295.60,-,-0.50%
26-Sep-05,4486.45,4407.55,4495.80,4406.50,-,2.01%
27-Sep-05,4549.50,4446.25,4572.45,4446.25,-,1.41%
28-Sep-05,4604.05,4550.80,4611.20,4544.40,-,1.20%
29-Sep-05,4600.05,4485.00,4619.80,4485.00,-,-0.09%
30-Sep-05,4622.10,4598.30,4667.95,4538.15,-,0.48%
3-Oct-05,4622.40,4639.15,4673.40,4608.70,-,0.01%
4-Oct-05,4692.85,4624.90,4704.45,4623.20,-,1.52%
5-Oct-05,4601.45,4678.85,4703.85,4588.55,-,-1.95%
6-Oct-05,4465.25,4597.45,4597.45,4448.35,-,-2.96%
7-Oct-05,4414.25,4459.30,4487.40,4354.05,-,-1.14%
10-Oct-05,4370.80,4415.90,4473.30,4357.85,-,-0.98%
11-Oct-05,4489.40,4378.05,4497.10,4303.65,-,2.71%
13-Oct-05,4390.70,4490.15,4530.05,4370.40,-,-2.20%
14-Oct-05,4274.85,4399.25,4415.50,4259.80,-,-2.64%
17-Oct-05,4271.60,4293.45,4306.95,4208.10,-,-0.08%
18-Oct-05,4233.45,4280.90,4331.20,4200.00,-,-0.89%
19-Oct-05,4152.90,4208.30,4208.30,4112.80,-,-1.90%
20-Oct-05,4077.95,4179.05,4248.25,4027.05,-,-1.80%
21-Oct-05,4132.15,4107.10,4139.75,4026.75,-,1.33%
24-Oct-05,4049.15,4136.80,4165.50,4033.40,-,-2.01%
25-Oct-05,4120.90,4056.10,4143.70,4041.05,-,1.77%
26-Oct-05,4128.55,4120.20,4147.25,4099.30,-,0.19%
27-Oct-05,3944.20,4129.25,4141.25,3919.35,-,-4.47%
28-Oct-05,3876.55,3945.20,3945.20,3858.05,-,-1.72%
31-Oct-05,4003.85,3907.30,4015.70,3888.90,-,3.28%
1-Nov-05,4025.25,4049.80,4069.75,4003.70,-,0.53%
2-Nov-05,4014.65,4024.00,4040.10,3959.70,-,-0.26%
7-Nov-05,4032.80,4013.85,4065.05,3990.90,-,0.45%
8-Nov-05,4076.95,4042.30,4106.10,4042.30,-,1.09%
9-Nov-05,4094.70,4088.50,4139.65,4059.55,-,0.44%
10-Nov-05,4081.40,4095.95,4131.75,4069.70,-,-0.32%
11-Nov-05,4165.30,4082.80,4174.00,4082.80,-,2.06%
14-Nov-05,4259.70,4170.60,4274.10,4170.60,-,2.27%
16-Nov-05,4318.85,4269.20,4333.20,4269.20,-,1.39%
17-Nov-05,4380.35,4330.55,4387.40,4293.85,-,1.42%
18-Nov-05,4346.10,4353.10,4416.85,4327.95,-,-0.78%
21-Nov-05,4251.95,4350.80,4355.55,4241.25,-,-2.17%
22-Nov-05,4190.95,4248.10,4281.75,4177.20,-,-1.43%
23-Nov-05,4260.75,4191.10,4268.80,4185.55,-,1.67%
24-Nov-05,4318.35,4258.25,4349.80,4258.25,-,1.35%
25-Nov-05,4367.65,4333.95,4374.00,4327.95,-,1.14%
26-Nov-05,4375.25,4372.60,4394.30,4371.90,-,0.17%
28-Nov-05,4407.55,4379.65,4426.95,4379.15,-,0.74%
29-Nov-05,4348.25,4282.60,4412.65,4282.60,-,-1.35%
30-Nov-05,4298.20,4353.40,4415.95,4286.20,-,-1.15%
1-Dec-05,4336.40,4321.65,4343.80,4269.85,-,0.89%
2-Dec-05,4343.45,4351.45,4411.20,4330.70,-,0.16%
5-Dec-05,4270.25,4339.00,4368.30,4261.20,-,-1.69%
6-Dec-05,4229.70,4263.90,4280.35,4218.45,-,-0.95%
