Date,Close,Open,High,Low,Volume,Change
19-Dec-01,1060.75,1082.50,1086.35,1057.10,49.99M,-1.99%
20-Dec-01,1062.00,1060.45,1064.80,1047.50,55.79M,0.12%
21-Dec-01,1050.85,1061.80,1061.80,1043.65,47.17M,-1.05%
24-Dec-01,1048.50,1051.00,1055.00,1032.60,41.90M,-0.22%
26-Dec-01,1034.25,1048.90,1058.30,1030.50,42.61M,-1.36%
27-Dec-01,1020.00,1033.85,1037.70,1017.35,60.27M,-1.38%
28-Dec-01,1033.80,1019.90,1036.35,1010.45,56.36M,1.35%
31-Dec-01,1059.05,1033.90,1062.30,1033.90,53.15M,2.44%
1-Jan-02,1055.30,1058.85,1071.15,1052.05,43.95M,-0.35%
2-Jan-02,1060.75,1054.95,1065.25,1054.10,49.61M,0.52%
3-Jan-02,1072.25,1063.45,1074.85,1062.90,61.87M,1.08%
4-Jan-02,1096.20,1072.40,1099.25,1072.40,74.41M,2.23%
7-Jan-02,1100.15,1093.05,1111.55,1093.05,61.39M,0.36%
8-Jan-02,1109.90,1100.55,1114.55,1097.90,67.83M,0.89%
9-Jan-02,1102.80,1110.00,1119.40,1098.70,74.87M,-0.64%
10-Jan-02,1098.20,1098.80,1105.35,1093.60,68.97M,-0.42%
11-Jan-02,1088.55,1098.15,1105.90,1073.45,71.15M,-0.88%
14-Jan-02,1109.80,1089.45,1118.50,1089.45,60.43M,1.95%
15-Jan-02,1094.15,1109.45,1112.60,1090.20,55.22M,-1.41%
16-Jan-02,1090.30,1094.15,1104.80,1085.30,59.75M,-0.35%
17-Jan-02,1109.20,1090.25,1116.05,1078.95,83.52M,1.73%
18-Jan-02,1093.15,1109.55,1121.75,1089.05,84.63M,-1.45%
21-Jan-02,1091.35,1093.25,1099.80,1082.65,64.35M,-0.16%
22-Jan-02,1092.85,1091.35,1099.00,1090.00,55.75M,0.14%
23-Jan-02,1089.40,1092.85,1096.95,1087.50,53.73M,-0.32%
24-Jan-02,1085.30,1089.60,1098.60,1081.70,47.72M,-0.38%
25-Jan-02,1080.10,1085.85,1089.70,1077.00,59.84M,-0.48%
28-Jan-02,1071.35,1083.25,1088.75,1068.70,49.77M,-0.81%
29-Jan-02,1071.65,1071.35,1076.45,1068.85,58.95M,0.03%
